Date,Adj Close (BNB),Volume (BNB),Adj Close (BTC),Volume (BTC),Adj Close (USDT),Volume (USDT),Adj Close (ETH),Volume (ETH)
09/11/2017,1.99077,19192200,7143.580078,3226249984,1.00818,358188000,320.884003,893249984
10/11/2017,1.79684,11155000,6618.140137,5208249856,1.00601,756446016,299.252991,885985984
11/11/2017,1.67047,8178150,6357.600098,4908680192,1.00899,746227968,314.681,842300992
12/11/2017,1.51969,15298700,5950.069824,8957349888,1.01247,1466060032,307.90799,1613479936
13/11/2017,1.68662,12238800,6559.490234,6263249920,1.00935,767884032,316.716003,1041889984
14/11/2017,1.59258,7829600,6635.75,3197110016,1.00683,429857984,337.631012,1069680000
15/11/2017,1.53045,7615500,7315.540039,4200880128,1.00318,449671008,333.356995,722665984
16/11/2017,1.57792,8928640,7871.689941,5123809792,1.00212,650278976,330.924011,797254016
17/11/2017,1.51036,8508840,7708.990234,4651670016,1.00139,639398016,332.394012,621732992
18/11/2017,1.67433,32167300,7790.149902,3667190016,1.00231,588136000,347.612,649638976
19/11/2017,1.61377,38081700,8036.490234,3149319936,1.00244,485752992,354.385986,1181529984
20/11/2017,1.62445,12994500,8200.639648,3488450048,1.00192,449595008,366.730011,807027008
21/11/2017,1.57406,5440790,8071.259766,4277609984,0.996047,622649024,360.401001,949912000
22/11/2017,1.61175,7177000,8253.549805,3633530112,1.00015,499812000,380.652008,800819008
23/11/2017,1.5487,8392640,8038.77002,4225179904,0.994631,735883008,410.165985,1845680000
24/11/2017,1.71771,12155400,8253.69043,5058610176,1.00233,848627968,474.911011,2292829952
25/11/2017,1.87387,12839900,8790.919922,4342060032,1.00541,651987968,466.276001,1422080000
26/11/2017,1.85313,9056850,9330.549805,5475579904,1.00868,636451968,471.329987,1197779968
27/11/2017,1.94298,22826600,9818.349609,5653320192,1.00129,784436992,480.355011,1396480000
28/11/2017,1.91711,36377700,10058.79981,6348819968,1.00014,794764032,472.902008,1346499968
29/11/2017,1.75153,43765500,9888.610352,11568799744,0.990606,1672120064,427.52301,2675940096
30/11/2017,1.99697,31559500,10233.59961,8310689792,1.0081,1043969984,447.114014,1903040000
01/12/2017,2.07023,28867200,10975.59961,6783119872,1.00978,749395968,466.540009,1247879936
02/12/2017,2.08416,24332700,11074.59961,5138500096,0.999654,679950016,463.449005,943649984
03/12/2017,2.22725,35163500,11323.2002,6608309760,1.00066,946748992,465.852997,990556992
04/12/2017,2.49168,41226200,11657.2002,6132409856,1.00367,668510016,470.20401,1005550016
05/12/2017,2.5953,49190000,11916.7002,6895260160,1.00197,814145984,463.281006,1216720000
06/12/2017,2.58769,41731500,14291.5,12656300032,1.00991,1281490048,428.588013,1998259968
07/12/2017,2.77995,28297900,17899.69922,17950699520,1.03166,1671609984,434.40799,2129570048
08/12/2017,2.83067,38648500,16569.40039,21135998976,1.0176,1993030016,456.031006,2336379904
